id,UserID
6510,727488266
6511,357901104
6512,345398755
6513,824468579
6514,247410899
6515,232899786
6516,570853432
6517,763090384
6518,858782061
6519,295192038
6520,539085345
6521,366173898
6522,402780597
6523,173403922
6524,281775338
6525,518373029
6526,62040702
6527,426736594
6528,381806953
6529,553577647
6530,158628820
6531,226688358
6532,339754412
6533,310438346
6534,276001800
6535,457181835
6536,489974752
6537,716636336
6538,411433562
6539,511805119
6540,64939730
6541,222508284
6542,446188732
6543,327465924
6544,487690167
6545,168736782
6546,406414329
6547,390786524
6548,557947512
6549,129699312
6550,485972522
6551,507310130
6552,524863799
6553,586201839
6554,117219246
6555,126656803
6556,166609872
6557,318291588
6558,466384729
6559,517181067
6560,172398899
6561,225516250
6562,318715973
6563,351667547
6564,68896135
6565,105647622
6566,237593490
6567,378258329
6568,416523136
6569,461674146
6570,514098584
6571,652470369
6572,164078430
6573,207176519
6574,289340071
6575,329644051
6576,58486211
6577,286834888
6578,333417811
6579,1595033
6580,81931997
6581,215037953
6582,593792738
6583,128688006
6584,182529249
6585,195694353
6586,232068695
6587,332823061
6588,525782948
6589,203741900
6590,294940272
6591,297925859
6592,317980398
6593,489894769
6594,65911804
6595,102432028
6596,195949495
6597,230411270
6598,287272900
6599,388702733
6600,432368012
6601,519859211
6602,154093921
6603,193614815
6604,226073419
6605,278884596
6606,282975098
6607,352798862
6608,416815964
6609,479978193
6610,535618720
6611,12975726
6612,72920293
6613,118448928
6614,343826610
6615,370307684
6616,97874829
6617,115794900
6618,318293641
6619,520588963
6620,237393247
6621,91871922
6622,166494456
6623,310899115
6624,114593674
6625,154617056
6626,322475567
6627,611598563
6628,80721751
6629,352004476
6630,181517178
6631,258766915
6632,211434066
6633,489379030
6634,500291896
6635,371607329
6636,355682312
6637,788716175
6638,473070352
6639,546100379
6640,580762508
6641,261426704
6642,71025383
6643,639454234
6644,719221164
6645,736220157
6646,250817546
6647,183937603
6648,440989404
6649,809874895
6650,758889851
6651,444484750
6652,295704728
6653,673398506
6654,613733132
6655,54492917
6656,779919319
6657,256456467
6658,438696747
6659,764793132
6660,138478751
6661,747602705
6662,172524158
6663,801236019
6664,229480595
6665,424402048
6666,275450413
6667,572037992
6668,645693686
6669,277236719
6670,499855863
6671,593142794
6672,630679130
6673,357275159
6674,241436746
6675,604467112
6676,472964196
6677,468677118
6678,693670681
6679,460585773
6680,718938945
6681,713593938
6682,745908234
6683,442761314
6684,345817591
6685,520087045
6686,690405837
6687,467781071
6688,601842985
6689,595521385
6690,171746181
6691,458437724
6692,566339500
6693,719545049
6694,579716074
6695,314700095
6696,775890831
6697,447457719
6698,595256057
6699,615346036
6700,269268646
6701,517614477
6702,506922496
6703,626382110
6704,364078847
6705,337537180
6706,134924926
6707,424690501
6708,507929843
6709,509051625
6710,537313457
6711,466829621
6712,308751583
6713,689837424
6714,621758692
6715,410369232
6716,362680721
6717,489123798
6718,592778378
6719,422850044
6720,519735905
6721,503893865
6722,97641101
6723,126298933
6724,590463950
6725,515742669
6726,735493188
6727,315868186
6728,453037355
6729,444590772
6730,464962061
6731,351970416
6732,702425571
6733,407325188
6734,411994381
6735,471343591
6736,432133865
6737,542095960
6738,104633423
6739,637076447
6740,249887720
6741,725915981
6742,385410816
6743,682230444
6744,767257951
6745,453570585
6746,372102058
6747,659273353
6748,524070865
6749,696337986
6750,730363616
6751,426268397
6752,309043028
6753,400451083
6754,258803551
6755,396185529
6756,375434842
6757,684793037
6758,522104810
6759,419778965
6760,765402591
6761,658649
6762,232271359
6763,123767516
6764,703219754
6765,740278558
6766,5429684
